,Ward_Alphabet,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Ward_Names,Land_Area,TOT_P_DEN
10,H/W,120266,557239,305866,251373,54981,28671,26310,34495,17779,16716,4180,2447,1733,449176,255882,193294,108063,49984,58079,230883,182210,48673,213248,171670,41578,929,599,330,1372,1078,294,6153,4422,1731,204794,165571,39223,17635,10540,7095,518,279,239,560,448,112,813,345,468,15744,9468,6276,15158,8883,6275,478,257,221,506,411,95,608,266,342,13566,7949,5617,2477,1657,820,40,22,18,54,37,17,205,79,126,2178,1519,659,326356,123656,202700,Bandra,11.6,48037.84
11,K/E,190845,823885,440655,383230,74083,38632,35451,33764,17287,16477,7617,3957,3660,687037,380529,306508,136848,60126,76722,339860,263931,75929,321741,252630,69111,867,566,301,1463,1081,382,7290,4981,2309,312121,246002,66119,18119,11301,6818,409,198,211,229,132,97,946,358,588,16535,10613,5922,15115,9317,5798,400,194,206,193,112,81,611,271,340,13911,8740,5171,3004,1984,1020,9,4,5,36,20,16,335,87,248,2624,1873,751,484025,176724,307301,Andheri (East),24.8,33221.17
12,K/W,168076,748688,401462,347226,67498,35237,32261,20633,10580,10053,6780,3531,3249,612139,336971,275168,136549,64491,72058,313562,239667,73895,295092,229114,65978,1567,882,685,1411,1058,353,7337,5060,2277,284777,222114,62663,18470,10553,7917,577,312,265,186,95,91,1173,548,625,16534,9598,6936,15509,8654,6855,563,302,261,171,83,88,959,431,528,13816,7838,5978,2961,1899,1062,14,10,4,15,12,3,214,117,97,2718,1760,958,435126,161795,273331,Andheri (West),23.4,31995.21
13,L,186833,902225,500613,401612,103641,54117,49524,58884,30325,28559,5676,3070,2606,709306,411859,297447,192919,88754,104165,343869,291260,52609,326566,279501,47065,609,421,188,1564,1240,324,7260,5187,2073,317133,272653,44480,17303,11759,5544,378,219,159,150,89,61,732,303,429,16043,11148,4895,14168,9442,4726,372,213,159,129,74,55,544,235,309,13123,8920,4203,3135,2317,818,6,6,0,21,15,6,188,68,120,2920,2228,692,558356,209353,349003,Kurla,15.9,56743.71
14,M/E,166400,807720,436557,371163,105741,55071,50670,78104,40340,37764,9874,5220,4654,585336,334953,250383,222384,101604,120780,285029,238744,46285,263033,224040,38993,759,529,230,1306,1063,243,8145,6141,2004,252823,216307,36516,21996,14704,7292,562,313,249,266,186,80,1480,760,720,19688,13445,6243,18001,11866,6135,532,292,240,221,151,70,1096,589,507,16152,10834,5318,3995,2838,1157,30,21,9,45,35,10,384,171,213,3536,2611,925,522691,197813,324878,Chembur,32.5,24852.92
15,M/W,93607,411893,217631,194262,41321,21640,19681,73874,37971,35903,3975,2121,1854,329472,182092,147380,82421,35539,46882,168040,126724,41316,154859,119287,35572,521,344,177,1060,825,235,14395,10242,4153,138883,107876,31007,13181,7437,5744,284,137,147,151,96,55,1670,724,946,11076,6480,4596,11058,6162,4896,275,131,144,133,81,52,1022,400,622,9628,5550,4078,2123,1275,848,9,6,3,18,15,3,648,324,324,1448,930,518,243853,90907,152946,Chembur (West),19.5,21122.72
16,N,137885,622853,332627,290226,61073,31939,29134,50998,26266,24732,6814,3676,3138,509013,281795,227218,113840,50832,63008,241779,195481,46298,231158,188818,42340,391,259,132,918,720,198,5626,3670,1956,224223,184169,40054,10621,6663,3958,277,142,135,83,53,30,635,178,457,9626,6290,3336,8615,5427,3188,267,135,132,75,46,29,408,125,283,7865,5121,2744,2006,1236,770,10,7,3,8,7,1,227,53,174,1761,1169,592,381074,137146,243928,Ghatkopar,26.0,23955.88
17,P/N,211642,941366,507517,433849,100079,52413,47666,38590,20128,18462,10467,5444,5023,750036,421647,328389,191330,85870,105460,371650,297622,74028,348928,284213,64715,1048,698,350,2239,1800,439,12714,8962,3752,332927,272753,60174,22722,13409,9313,608,306,302,379,230,149,1865,699,1166,19870,12174,7696,19483,11464,8019,591,299,292,328,193,135,1431,560,871,17133,10412,6721,3239,1945,1294,17,7,10,51,37,14,434,139,295,2737,1762,975,569716,209895,359821,Malad,19.1,49286.18
18,P/S,106922,463507,249502,214005,44172,22953,21219,27651,14269,13382,7554,3880,3674,378848,211917,166931,84659,37585,47074,192818,148823,43995,180374,141358,39016,662,444,218,652,481,171,4897,3363,1534,174163,137070,37093,12444,7465,4979,341,169,172,118,64,54,591,244,347,11394,6988,4406,10510,6266,4244,332,161,171,104,56,48,429,167,262,9645,5882,3763,1934,1199,735,9,8,1,14,8,6,162,77,85,1749,1106,643,270689,100679,170010,Goregaon,24.4,18996.19
19,R/C,134795,562162,289153,273009,44881,23560,21321,27325,13913,13412,8245,4199,4046,480279,250592,229687,81883,38561,43322,226167,165831,60336,214241,159702,54539,722,451,271,1209,884,325,5597,3689,1908,206713,154678,52035,11926,6129,5797,442,206,236,198,98,100,623,226,397,10663,5599,5064,10432,5357,5075,434,199,235,184,90,94,512,183,329,9302,4885,4417,1494,772,722,8,7,1,14,8,6,111,43,68,1361,714,647,335995,123322,212673,Borivali,50.0,11243.24
20,R/N,104091,431368,233710,197658,40719,21508,19211,14060,7367,6693,5597,2906,2691,356166,200011,156155,75202,33699,41503,177401,138856,38545,170045,134703,35342,378,274,104,726,569,157,4082,2756,1326,164859,131104,33755,7356,4153,3203,177,85,92,121,58,63,585,173,412,6473,3837,2636,6126,3369,2757,176,85,91,116,55,61,455,133,322,5379,3096,2283,1230,784,446,1,0,1,5,3,2,130,40,90,1094,741,353,253967,94854,159113,Dahisar,18.0,23964.89
21,R/S,159639,691229,379319,311910,65716,34577,31139,31166,16424,14742,8424,4553,3871,565695,320657,245038,125534,58662,66872,281884,226288,55596,267183,217366,49817,581,364,217,1228,901,327,8869,6270,2599,256505,209831,46674,14701,8922,5779,358,175,183,243,139,104,1218,417,801,12882,8191,4691,11850,7178,4672,340,171,169,227,131,96,930,334,596,10353,6542,3811,2851,1744,1107,18,4,14,16,8,8,288,83,205,2529,1649,880,409345,153031,256314,Kandivali,17.8,38833.09
22,S,169962,743783,398858,344925,75168,39367,35801,60833,31110,29723,9609,5080,4529,611024,340453,270571,132759,58405,74354,292474,228944,63530,273338,216955,56383,768,527,241,1442,1094,348,6709,4434,2275,264419,210900,53519,19136,11989,7147,415,217,198,189,108,81,1134,379,755,17398,11285,6113,15621,9653,5968,391,201,190,171,97,74,730,236,494,14329,9119,5210,3515,2336,1179,24,16,8,18,11,7,404,143,261,3069,2166,903,451309,169914,281395,Bhandup,64.0,11621.61
23,T,81698,341463,176156,165307,27803,14573,13230,23214,11686,11528,6884,3449,3435,292182,154079,138103,49281,22077,27204,137104,101276,35828,130737,97796,32941,341,212,129,611,424,187,2531,1280,1251,127254,95880,31374,6367,3480,2887,179,80,99,157,46,111,283,79,204,5748,3275,2473,5476,2917,2559,174,76,98,154,44,110,216,60,156,4932,2737,2195,891,563,328,5,4,1,3,2,1,67,19,48,816,538,278,204359,74880,129479,Mulund,45.4,7521.21
